periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2003T2,2003,2,S122,Bancos y cooperativas,40096.2603034172,2.388888962070072,0.870828388431381,0.005013643880729446
2003T3,2003,3,S122,Bancos y cooperativas,40602.84251316479,2.418782819790588,0.8832644466095676,0.012436058178186604
2003T4,2003,4,S122,Bancos y cooperativas,42415.1234290803,2.525891620967627,0.9265941176110143,0.04332967100144669
2004T1,2004,1,S122,Bancos y cooperativas,42866.49731940714,2.5527258591514284,0.9371617526078654,0.010567634996851094
2004T2,2004,2,S122,Bancos y cooperativas,43957.94651530099,2.6168723418559825,0.9619798420204114,0.02481808941254604
2004T3,2004,3,S122,Bancos y cooperativas,44583.07890962289,2.653236741512188,0.975780306572849,0.013800464552437552
2004T4,2004,4,S122,Bancos y cooperativas,47149.34299507754,2.80142965459234,1.0301298777998011,0.054349571226952165
2005T1,2005,1,S122,Bancos y cooperativas,48472.173761529484,2.8783438756273165,1.0572150855621514,0.02708520776235024
2005T2,2005,2,S122,Bancos y cooperativas,50696.599815917216,3.0055320657662725,1.1004546124690373,0.04323952690688593
2005T3,2005,3,S122,Bancos y cooperativas,52420.62414600067,3.1028380339742796,1.1323171875117137,0.03186257504267642
2005T4,2005,4,S122,Bancos y cooperativas,55697.145095526255,3.2851220719989143,1.1894038116719914,0.057086624160277655
2006T1,2006,1,S122,Bancos y cooperativas,57044.131625306036,3.3603069398619887,1.212032320952252,0.022628509280260722
2006T2,2006,2,S122,Bancos y cooperativas,58539.098483707116,3.4426679069720243,1.2362467251507672,0.02421440419851506
2006T3,2006,3,S122,Bancos y cooperativas,60199.35433867789,3.5328935643342416,1.262117241779488,0.025870516628720752
2006T4,2006,4,S122,Bancos y cooperativas,62806.73470355201,3.675090680933817,1.3015778074444069,0.039460565664918956
2007T1,2007,1,S122,Bancos y cooperativas,64737.83468330408,3.780196169036833,1.3297759048555067,0.0281980974110998
2007T2,2007,2,S122,Bancos y cooperativas,68509.4102425951,3.9827058948013105,1.3819614613530082,0.05218555649750156
2007T3,2007,3,S122,Bancos y cooperativas,70880.09172662094,4.106314471919016,1.4125259040514866,0.030564442698478356
2007T4,2007,4,S122,Bancos y cooperativas,75362.3455570496,4.33473680764866,1.466660895044199,0.05413499099271246
2008T1,2008,1,S122,Bancos y cooperativas,77764.57698551351,4.455923731238329,1.4942343865086487,0.02757349146444965
2008T2,2008,2,S122,Bancos y cooperativas,81112.72687763066,4.621242342531194,1.530663574254877,0.036429187746228386
2008T3,2008,3,S122,Bancos y cooperativas,84619.21196825147,4.788310585690054,1.5661776531128169,0.03551407885793978
2008T4,2008,4,S122,Bancos y cooperativas,88585.69979407165,4.9732062800437,1.604064758873074,0.03788710576025722
2009T1,2009,1,S122,Bancos y cooperativas,85894.0152421695,4.844784806339449,1.577902828740114,-0.026161930132960087
2009T2,2009,2,S122,Bancos y cooperativas,86180.48051339602,4.858469657891042,1.580723503118041,0.0028206743779271015
2009T3,2009,3,S122,Bancos y cooperativas,88146.26560711743,4.952822285088851,1.5999575727057465,0.01923406958770535
2009T4,2009,4,S122,Bancos y cooperativas,93220.57653493244,5.195115175456126,1.6477187947493428,0.04776122204359634
2010T1,2010,1,S122,Bancos y cooperativas,91946.4216365536,5.134436856299404,1.6359701696546805,-0.011748625094662346
2010T2,2010,2,S122,Bancos y cooperativas,92979.9709575389,5.18318421604885,1.6454195809353702,0.009449411280689768
2010T3,2010,3,S122,Bancos y cooperativas,94092.03036041814,5.235295740134813,1.655423335589267,0.01000375465389669
2010T4,2010,4,S122,Bancos y cooperativas,98338.96833075718,5.4332369707413015,1.6925350835409458,0.03711174795167893
2011T1,2011,1,S122,Bancos y cooperativas,101826.68227670577,5.59486788750422,1.7218497288853247,0.029314645344378887
2011T2,2011,2,S122,Bancos y cooperativas,106282.02994306761,5.798402380658906,1.7575824279980774,0.035732699112752675
2011T3,2011,3,S122,Bancos y cooperativas,108753.33125048384,5.910669500552759,1.7767591076674516,0.019176679669374197
2011T4,2011,4,S122,Bancos y cooperativas,114988.4068184242,6.190344174352891,1.8229906868233077,0.04623157915585607
2012T1,2012,1,S122,Bancos y cooperativas,115709.51990664804,6.22234598357941,1.8281470034192415,0.005156316595933852
2012T2,2012,2,S122,Bancos y cooperativas,120436.03316445224,6.431230858253441,1.861165944230925,0.03301894081168344
2012T3,2012,3,S122,Bancos y cooperativas,122786.78540717387,6.5352876525468275,1.8772163633296175,0.016050419098692537
2012T4,2012,4,S122,Bancos y cooperativas,127436.51976461518,6.738859529890669,1.907890701391687,0.03067433806206954
