periodo,año,trimestre,acreedor_codigo,acreedor_nombre,acreedor_clasif,deudor_codigo,deudor_nombre,deudor_clasif,exp_ij,pasivo_red_j,D_fondeo
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S122,Bancos y cooperativas,Bancario,7489.769974817,37005.38900061244,0.2023967367210501
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S122,Bancos y cooperativas,Bancario,5296.994047564892,37005.38900061244,0.14314115296767252
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S122,Bancos y cooperativas,Bancario,3271.5166115299994,37005.38900061244,0.08840649159169373
2003T4,2003,4,S128,Compañías de seguros,NBFI,S122,Bancos y cooperativas,Bancario,2640.5446400000005,37005.38900061244,0.07135567849202448
2003T4,2003,4,S123,FMM,NBFI,S122,Bancos y cooperativas,Bancario,2243.2595129149995,37005.38900061244,0.06061980629031824
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S122,Bancos y cooperativas,Bancario,2227.4108825791227,37005.38900061244,0.06019152730815122
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S122,Bancos y cooperativas,Bancario,2152.566612155503,37005.38900061244,0.058169003766448124
2003T4,2003,4,S124,FNM,NBFI,S122,Bancos y cooperativas,Bancario,1092.9235843089998,37005.38900061244,0.029534173638626305
2003T4,2003,4,S13,Gobierno general,Gobierno,S122,Bancos y cooperativas,Bancario,952.7585878799232,37005.38900061244,0.025746482164101962
2003T4,2003,4,S121,Banco Central,Banco Central,S122,Bancos y cooperativas,Bancario,644.7191600000001,37005.38900061244,0.017422304626748552
2003T4,2003,4,S14_S15,Hogares,Hogares,S123,FMM,NBFI,1153.3997301400002,2657.8579202029996,0.4339583848228828
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S123,FMM,NBFI,774.9177833269995,2657.8579202029996,0.29155726400447074
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S123,FMM,NBFI,485.4722047,2657.8579202029996,0.18265543880649612
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S123,FMM,NBFI,119.60360641000001,2657.8579202029996,0.04500000000032546
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S123,FMM,NBFI,82.61922,2657.8579202029996,0.03108488959172422
2003T4,2003,4,S128,Compañías de seguros,NBFI,S123,FMM,NBFI,34.36301000000001,2657.8579202029996,0.012928836315439864
2003T4,2003,4,S13,Gobierno general,Gobierno,S123,FMM,NBFI,5.794825625999999,2657.8579202029996,0.0021802616242020214
2003T4,2003,4,S124,FNM,NBFI,S123,FMM,NBFI,1.6875400000000014,2657.8579202029996,0.0006349248344588381
2003T4,2003,4,S14_S15,Hogares,Hogares,S124,FNM,NBFI,1615.2201967749997,3386.6049780479993,0.4769437850723276
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S124,FNM,NBFI,855.4533699919999,3386.6049780479993,0.25259910014219417
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S124,FNM,NBFI,361.83617519999996,3386.6049780479993,0.10684333648164605
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S124,FNM,NBFI,199.8374689719997,3386.6049780479993,0.05900820150780731
2003T4,2003,4,S128,Compañías de seguros,NBFI,S124,FNM,NBFI,194.53461999999993,3386.6049780479993,0.057442371124171526
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S124,FNM,NBFI,108.67087310900004,3386.6049780479993,0.03208844072851883
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S124,FNM,NBFI,49.723980000000005,3386.6049780479993,0.014682545003716478
2003T4,2003,4,S124,FNM,NBFI,S124,FNM,NBFI,1.3282939999999963,3386.6049780479993,0.0003922199396179976
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S125_S126,Otros intermediarios,NBFI,2275.547365592275,6463.005114056008,0.35208812702984277
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S125_S126,Otros intermediarios,NBFI,1483.504075435,6463.005114056008,0.22953781549833754
2003T4,2003,4,S121,Banco Central,Banco Central,S125_S126,Otros intermediarios,NBFI,1409.9471800000001,6463.005114056008,0.2181565935842429
2003T4,2003,4,S128,Compañías de seguros,NBFI,S125_S126,Otros intermediarios,NBFI,500.6532713039834,6463.005114056008,0.07746447085662089
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S125_S126,Otros intermediarios,NBFI,338.1488318841682,6463.005114056008,0.0523206814657702
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S125_S126,Otros intermediarios,NBFI,167.2399322157595,6463.005114056008,0.025876496964552798
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S125_S126,Otros intermediarios,NBFI,145.8381549362165,6463.005114056008,0.022565068781864605
2003T4,2003,4,S124,FNM,NBFI,S125_S126,Otros intermediarios,NBFI,133.44666898625496,6463.005114056008,0.020647774004700952
2003T4,2003,4,S14_S15,Hogares,Hogares,S125_S126,Otros intermediarios,NBFI,7.855721398350316,6463.005114056008,0.0012154905124963265
2003T4,2003,4,S123,FMM,NBFI,S125_S126,Otros intermediarios,NBFI,0.8239123039999945,6463.005114056008,0.0001274813015710163
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S128,Compañías de seguros,NBFI,91.588160058,92.19087,0.9934623684319281
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S128,Compañías de seguros,NBFI,0.602709942,92.19087,0.006537631568071763
2003T4,2003,4,S121,Banco Central,Banco Central,S13,Gobierno general,Gobierno,3698.00398,10336.2127812495,0.35777165759478147
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S13,Gobierno general,Gobierno,2966.597190777,10336.2127812495,0.2870100735695556
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S13,Gobierno general,Gobierno,1646.8334399999999,10336.2127812495,0.15932658071701591
2003T4,2003,4,S128,Compañías de seguros,NBFI,S13,Gobierno general,Gobierno,1321.9493799999998,10336.2127812495,0.12789494643512891
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S13,Gobierno general,Gobierno,446.7946928443173,10336.2127812495,0.043226150844613925
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S13,Gobierno general,Gobierno,224.6707120000599,10336.2127812495,0.02173627002025595
2003T4,2003,4,S124,FNM,NBFI,S13,Gobierno general,Gobierno,23.54489005200004,10336.2127812495,0.0022779029950613884
2003T4,2003,4,S13,Gobierno general,Gobierno,S13,Gobierno general,Gobierno,4.126139080000001,10336.2127812495,0.00039919254443804216
2003T4,2003,4,S123,FMM,NBFI,S13,Gobierno general,Gobierno,3.0138283720000016,10336.2127812495,0.0002915795597268725
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S13,Gobierno general,Gobierno,0.6785281241238912,10336.2127812495,6.564571942198996e-05
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S14_S15,Hogares,Hogares,9943.137840000001,12432.691910005202,0.7997574388534687
2003T4,2003,4,S128,Compañías de seguros,NBFI,S14_S15,Hogares,Hogares,1059.6298100000001,12432.691910005202,0.08522931459013021
2003T4,2003,4,S13,Gobierno general,Gobierno,S14_S15,Hogares,Hogares,760.0339300051999,12432.691910005202,0.06113188805021083
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S14_S15,Hogares,Hogares,642.58167,12432.691910005202,0.05168483821937893
2003T4,2003,4,S124,FNM,NBFI,S14_S15,Hogares,Hogares,27.308660000000003,12432.691910005202,0.002196520286811207
2003T4,2003,4,S121,Banco Central,Banco Central,S2,Resto del mundo,Resto del mundo,9472.341813996001,24554.120679439002,0.3857740188565539
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S2,Resto del mundo,Resto del mundo,6874.425422367,24554.120679439002,0.2799703362264351
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S2,Resto del mundo,Resto del mundo,3865.1203324368,24554.120679439002,0.15741228867028229
2003T4,2003,4,S14_S15,Hogares,Hogares,S2,Resto del mundo,Resto del mundo,2945.6670462632,24554.120679439002,0.11996630157193236
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S2,Resto del mundo,Resto del mundo,903.1626308580003,24554.120679439002,0.03678252797764759
2003T4,2003,4,S124,FNM,NBFI,S2,Resto del mundo,Resto del mundo,293.35257730499995,24554.120679439002,0.011947183168756108
2003T4,2003,4,S128,Compañías de seguros,NBFI,S2,Resto del mundo,Resto del mundo,131.38557034,24554.120679439002,0.005350856259740506
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S2,Resto del mundo,Resto del mundo,38.4415978,24554.120679439002,0.0015655864163032324
2003T4,2003,4,S123,FMM,NBFI,S2,Resto del mundo,Resto del mundo,30.211699675000006,24554.120679439002,0.0012304126085157885
2003T4,2003,4,S13,Gobierno general,Gobierno,S2,Resto del mundo,Resto del mundo,0.011988398001529278,24554.120679439002,4.882438332058886e-07
2004T1,2004,1,S122,Bancos y cooperativas,Bancario,S11,Empresas no financieras,Empresas NF,18152.09363593449,41653.05317930421,0.4357926310418359
2004T1,2004,1,S2,Resto del mundo,Resto del mundo,S11,Empresas no financieras,Empresas NF,16793.052488951005,41653.05317930421,0.4031649832885437
