periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor,clasificacion_acreedor,flag_sf_acreedor
2004T2,2004,2,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,249.91250248807003,Empresas NF,False
2004T2,2004,2,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,202.4975079154792,Bancario,True
2004T2,2004,2,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,164.61282565200003,NBFI,True
2004T2,2004,2,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,330.00607769507667,NBFI,True
2004T2,2004,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,29.279522571697452,NBFI,True
2004T2,2004,2,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,2864.011286415687,NBFI,True
2004T2,2004,2,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,2044.907500012965,NBFI,True
2004T2,2004,2,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,20.884117575999998,Gobierno,False
2004T2,2004,2,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,1.621448596199184,Hogares,False
2004T2,2004,2,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3931.0822737300005,Resto del mundo,False
2004T3,2004,3,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.44865000000000005,Empresas NF,False
2004T3,2004,3,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18652.72783745803,Bancario,True
2004T3,2004,3,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,11845.069860000001,Bancario,True
2004T3,2004,3,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,4.547473508864641e-16,NBFI,True
2004T3,2004,3,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,18.889649999999996,NBFI,True
2004T3,2004,3,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,725.3319560688403,NBFI,True
2004T3,2004,3,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,738.99514,NBFI,True
2004T3,2004,3,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,380.29565999999994,NBFI,True
