periodo,año,trimestre,sector_codigo,sector_nombre,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos
2022T2,2022,2,S124,FNM,32192.77441219,7054.817582931706,0.21914288879247246
2022T3,2022,3,S124,FNM,31379.796389854,7214.049721391247,0.22989472690535873
2022T4,2022,4,S124,FNM,30546.338328954,7451.940092330708,0.24395526599884565
2023T1,2023,1,S124,FNM,28949.671501648,7702.392945038091,0.26606149726429956
2023T2,2023,2,S124,FNM,30032.916786534002,8140.444250879444,0.2710507377202008
2023T3,2023,3,S124,FNM,31598.185048893,8442.748348842822,0.2671909268136463
2023T4,2023,4,S124,FNM,32915.514876106,9091.36471078296,0.27620302295142146
2024T1,2024,1,S124,FNM,37914.208387029,10307.391893548778,0.27186092845011334
2024T2,2024,2,S124,FNM,39117.746006655,10429.909594502862,0.26662859339411965
2024T3,2024,3,S124,FNM,44422.954430118,12317.137988363496,0.27726967164553756
2024T4,2024,4,S124,FNM,46932.03257427148,12008.356077056946,0.255866950958353
2025T1,2025,1,S124,FNM,46879.542157004995,12889.98590423872,0.2749597225388565
2025T2,2025,2,S124,FNM,51429.137966269,13623.613574982297,0.26490067914258375
2025T3,2025,3,S124,FNM,57648.164115901,14784.795861665361,0.25646603128489387
2003T1,2003,1,S125_S126,Otros intermediarios,4199.880172754447,2040.9722934069616,0.4859596487174089
2003T2,2003,2,S125_S126,Otros intermediarios,4701.435860254895,2375.8514215002574,0.5053459181662531
2003T3,2003,3,S125_S126,Otros intermediarios,4690.948634940137,2242.1662808616707,0.4779771545910956
2003T4,2003,4,S125_S126,Otros intermediarios,4811.243116874106,2227.4108825791227,0.4629595363341949
2004T1,2004,1,S125_S126,Otros intermediarios,5038.030807384661,2262.793554321569,0.4491424607814633
2004T2,2004,2,S125_S126,Otros intermediarios,5132.3757549303455,2280.6090679748377,0.4443573847421445
2004T3,2004,3,S125_S126,Otros intermediarios,5045.744504063818,2098.66370905406,0.41592746270918124
2004T4,2004,4,S125_S126,Otros intermediarios,5305.852608206096,2376.45453504603,0.4478930551841143
2005T1,2005,1,S125_S126,Otros intermediarios,5143.831139323077,2193.01069778119,0.4263380034030021
2005T2,2005,2,S125_S126,Otros intermediarios,5349.282825628813,2335.512957155055,0.43660300516649414
