periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S13,Gobierno general,Titulos deuda,0.20152999999999996
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,1905.9846398946797
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S121,Banco Central,Titulos deuda,423.57357
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S122,Bancos y cooperativas,Titulos deuda,2512.55538
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,368.0151701053218
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S13,Gobierno general,Titulos deuda,1343.3914200000002
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S2,Resto del mundo,Titulos deuda,107.23229139599995
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,1652.025596020333
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S121,Banco Central,Titulos deuda,6508.0318099999995
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S122,Bancos y cooperativas,Titulos deuda,3268.19051
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,250.58734253566547
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S13,Gobierno general,Titulos deuda,1497.6686599999998
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S2,Resto del mundo,Titulos deuda,1113.191021444
2003T1,2003,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,13.989577552999991
2003T1,2003,1,Bce Final,S13,Gobierno general,S121,Banco Central,Titulos deuda,5.607977480000027
2003T1,2003,1,Bce Final,S13,Gobierno general,S122,Bancos y cooperativas,Titulos deuda,23.217950893000015
2003T1,2003,1,Bce Final,S13,Gobierno general,S13,Gobierno general,Titulos deuda,3.181573534000001
2003T1,2003,1,Bce Final,S13,Gobierno general,S2,Resto del mundo,Titulos deuda,1.8626451492309587e-12
2003T1,2003,1,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,2.1555751579332645
2003T1,2003,1,Bce Final,S14_S15,Hogares,S121,Banco Central,Titulos deuda,0.0
2003T1,2003,1,Bce Final,S14_S15,Hogares,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,7.006004884824489
2003T1,2003,1,Bce Final,S14_S15,Hogares,S2,Resto del mundo,Titulos deuda,4.328745767
2003T1,2003,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,4085.234795482
2003T1,2003,1,Bce Final,S2,Resto del mundo,S122,Bancos y cooperativas,Titulos deuda,504.088573015
2003T1,2003,1,Bce Final,S2,Resto del mundo,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,9.999999980209394e-06
2003T1,2003,1,Bce Final,S2,Resto del mundo,S13,Gobierno general,Titulos deuda,2448.285606419
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S123,Fondos del mercado monetario,Cuotas FMM,643.6008245689992
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S123,Fondos del mercado monetario,Cuotas FMM,42.36236000000002
2003T2,2003,2,Bce Final,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FMM,0.5033169999999998
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S123,Fondos del mercado monetario,Cuotas FMM,1.1479000000000006
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S123,Fondos del mercado monetario,Cuotas FMM,443.4936021
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FMM,19.174711499999997
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S123,Fondos del mercado monetario,Cuotas FMM,23.300390000000007
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FMM,4.015040000000001
2003T2,2003,2,Bce Final,S13,Gobierno general,S123,Fondos del mercado monetario,Cuotas FMM,4.954252288
2003T2,2003,2,Bce Final,S13,Gobierno general,S2,Resto del mundo,Cuotas FMM,-9.999999974752428e-10
2003T2,2003,2,Bce Final,S14_S15,Hogares,S123,Fondos del mercado monetario,Cuotas FMM,965.1757325770003
2003T2,2003,2,Bce Final,S2,Resto del mundo,S123,Fondos del mercado monetario,Cuotas FMM,100.08542174800002
2003T2,2003,2,Bce Final,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FMM,0.0
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S124,Fondos del mercado no monetario,Cuotas FNM,215.9557445470004
2003T2,2003,2,Bce Final,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FNM,0.11433600000000019
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S124,Fondos del mercado no monetario,Cuotas FNM,0.3480389999999976
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S2,Resto del mundo,Cuotas FNM,45.993110800000025
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S124,Fondos del mercado no monetario,Cuotas FNM,321.5677630000001
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FNM,14.981650400000001
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S124,Fondos del mercado no monetario,Cuotas FNM,150.56441
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FNM,94.01694
2003T2,2003,2,Bce Final,S129,Fondo de pensiones,S124,Fondos del mercado no monetario,Cuotas FNM,713.4143399919998
2003T2,2003,2,Bce Final,S129,Fondo de pensiones,S2,Resto del mundo,Cuotas FNM,4140.882570000001
2003T2,2003,2,Bce Final,S14_S15,Hogares,S124,Fondos del mercado no monetario,Cuotas FNM,1374.4001227680005
2003T2,2003,2,Bce Final,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FNM,92.58953457100004
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S122,Bancos y cooperativas,Depositos,4839.694816441084
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S2,Resto del mundo,Depositos,4792.425793855298
2003T2,2003,2,Bce Final,S121,Banco Central,S2,Resto del mundo,Depositos,5896.601120998999
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S121,Banco Central,Depositos,242.31831000000054
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Depositos,896.8374999999991
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S2,Resto del mundo,Depositos,485.7735737080005
2003T2,2003,2,Bce Final,S123,Fondos del mercado monetario,S122,Bancos y cooperativas,Depositos,1896.0308715470014
2003T2,2003,2,Bce Final,S123,Fondos del mercado monetario,S2,Resto del mundo,Depositos,3.1275000014801434e-05
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S122,Bancos y cooperativas,Depositos,777.3189075089999
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S2,Resto del mundo,Depositos,9.379164112033323e-16
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S122,Bancos y cooperativas,Depositos,2266.743514076999
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Depositos,-3.127699999770783e-05
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S122,Bancos y cooperativas,Depositos,277.21583000000004
2003T2,2003,2,Bce Final,S129,Fondo de pensiones,S122,Bancos y cooperativas,Depositos,4973.280290000999
2003T2,2003,2,Bce Final,S129,Fondo de pensiones,S2,Resto del mundo,Depositos,-1.00000761449337e-09
2003T2,2003,2,Bce Final,S13,Gobierno general,S121,Banco Central,Depositos,141.38695999999993
2003T2,2003,2,Bce Final,S13,Gobierno general,S122,Bancos y cooperativas,Depositos,873.3724946619241
2003T2,2003,2,Bce Final,S13,Gobierno general,S2,Resto del mundo,Depositos,97.69586759799905
2003T2,2003,2,Bce Final,S14_S15,Hogares,S122,Bancos y cooperativas,Depositos,8545.764566861999
2003T2,2003,2,Bce Final,S14_S15,Hogares,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Depositos,0.28107
2003T2,2003,2,Bce Final,S14_S15,Hogares,S2,Resto del mundo,Depositos,2064.2748909496995
2003T2,2003,2,Bce Final,S2,Resto del mundo,S121,Banco Central,Depositos,130.52438999999998
2003T2,2003,2,Bce Final,S2,Resto del mundo,S122,Bancos y cooperativas,Depositos,89.02795506999999
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S121,Banco Central,Dinero legal,265.00839440000004
2003T2,2003,2,Bce Final,S121,Banco Central,S2,Resto del mundo,Dinero legal,0.36105
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S121,Banco Central,Dinero legal,455.3043100000001
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S2,Resto del mundo,Dinero legal,53.86640999999999
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S121,Banco Central,Dinero legal,25.697196000000005
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Dinero legal,19.7901665
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S121,Banco Central,Dinero legal,6.82709
2003T2,2003,2,Bce Final,S13,Gobierno general,S121,Banco Central,Dinero legal,782.7444321489999
2003T2,2003,2,Bce Final,S14_S15,Hogares,S121,Banco Central,Dinero legal,165.08811745100002
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.57274
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S122,Bancos y cooperativas,Prestamos,0.0
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S2,Resto del mundo,Prestamos,1164.4454834100004
2003T2,2003,2,Bce Final,S121,Banco Central,S122,Bancos y cooperativas,Prestamos,88.99014000000001
2003T2,2003,2,Bce Final,S121,Banco Central,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,1390.92461
2003T2,2003,2,Bce Final,S121,Banco Central,S13,Gobierno general,Prestamos,4421.155920000001
2003T2,2003,2,Bce Final,S121,Banco Central,S2,Resto del mundo,Prestamos,3.5089000000000015
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18429.675599233007
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Prestamos,573.0686661550001
