periodo,año,trimestre,sector_pasivo_codigo,total_credito,hhi,n_acreedores,part_bancario,part_nbfi,sector_nombre
2021T2,2021,2,S14_S15,101403.16887141333,6959.025648481529,5,0.8285443376481866,0.10353647661063768,Hogares
2021T3,2021,3,S14_S15,103835.01037421732,6964.313891979265,5,0.8289095173641728,0.10334695383017163,Hogares
2021T4,2021,4,S14_S15,107601.25694824832,6973.162566547197,5,0.8295196031376882,0.10473986972587221,Hogares
2022T1,2022,1,S14_S15,110458.85535324833,6949.521960053552,5,0.8279870498235956,0.10540517967405535,Hogares
2022T2,2022,2,S14_S15,114898.98100510731,6994.497191164106,5,0.8309564719589845,0.10575353531255002,Hogares
2022T3,2022,3,S14_S15,118385.17429194335,7018.14019810796,5,0.832513583360325,0.10641175890853888,Hogares
2022T4,2022,4,S14_S15,122107.87831521432,7004.150274892056,5,0.8316472746635253,0.10903676932072867,Hogares
2023T1,2023,1,S14_S15,124690.84655378335,6942.082718614436,5,0.8276317334155686,0.11072028576808741,Hogares
2023T2,2023,2,S14_S15,126697.74956443162,6963.800864241425,5,0.8290556708475179,0.1104648623374498,Hogares
2023T3,2023,3,S14_S15,128083.2248646037,6958.068393932593,5,0.8286836260437964,0.11085116562382363,Hogares
2023T4,2023,4,S14_S15,130624.02951630818,6972.167600099708,5,0.8295700985350359,0.11014682208454868,Hogares
2024T1,2024,1,S14_S15,132718.57627119098,6908.015823060716,5,0.8253563786516819,0.10996007907950617,Hogares
2024T2,2024,2,S14_S15,134821.48767298277,6867.819291478153,5,0.8227777468706656,0.1132567930279523,Hogares
2024T3,2024,3,S14_S15,136623.35614574366,6842.807390075527,5,0.8211504494544303,0.11488168265575582,Hogares
2024T4,2024,4,S14_S15,139630.02919440676,6799.49926558373,5,0.818321118946486,0.11765713518706129,Hogares
2025T1,2025,1,S14_S15,142838.28824765215,6651.677438607428,5,0.8085133267891628,0.12237632789181058,Hogares
2025T2,2025,2,S14_S15,144969.29016017425,6627.921640118932,5,0.8069483017721368,0.12385829395495226,Hogares
2025T3,2025,3,S14_S15,146542.48495682422,6612.718431288007,5,0.8059388344635867,0.12580648007321169,Hogares
