periodo,año,trimestre,pas_prestamos_cp,pas_prestamos_lp,pas_prestamos_total,pas_depositos_vista,pas_depositos_otros,pas_depositos_total,pas_total,cap_nec_financiamiento,sector_codigo,sector_nombre,act_titulos_cp,act_titulos_lp,act_titulos_total,act_prestamos_cp,act_prestamos_lp,act_prestamos_total,act_cuotas_fmm,act_cuotas_fnm,act_depositos_vista,act_depositos_otros,pas_titulos_cp,pas_titulos_lp,pas_titulos_total,act_titulos_total_calc,act_prestamos_total_calc,act_depositos_total_calc,pas_titulos_total_calc,pas_prestamos_total_calc,pas_depositos_total_calc,act_credito_intermediado,act_sin_acciones
2004T3,2004,3,45.5739,1195.4859,1241.0598,,,,1606.864,-810.9028,S11,Empresas no financieras,118.513,95.9074,214.4204,-0.0138,63.2682,63.2543,31.2504,155.7904,-171.9518,237.2903,0.9279,-79.3409,-78.413,214.4204,63.2544,65.33850000000001,-78.41300000000001,1241.0598,0.0,277.6748,530.0541000000001
2004T3,2004,3,17.0531,716.7087,733.7618,,,,799.6915,576.5012,S14_S15,Hogares e IPSFLSH,0.2774,0.0,0.2774,,,,64.2095,372.6356,383.8443,-18.5071,,,,0.2774,0.0,365.3372,0.0,733.7618,0.0,0.2774,802.4597
2004T3,2004,3,,,,,,,941.1968,-191.8361,S2,Resto del mundo,0.0,-107.7582,,-26.1885,339.2765,313.0879,6.6531,24.6329,-9.2789,-1.3367,,,,-107.7582,313.088,-10.6156,0.0,0.0,0.0,205.32980000000003,226.00020000000004
2004T4,2004,4,8.0763,6.761,14.8372,1065.9994,-33.3264,1032.673,553.0664,-62.3236,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.837299999999999,1032.673,0.0,0.0
2004T4,2004,4,995.83,332.05,1327.87,795.45,1079.78,1875.23,1878.22,225.41,S122,Bancos y cooperativas,-305.63,-128.75,-434.38,272.15,1454.58,1726.73,17.55,0.0,749.89,497.78,0.0,42.41,42.41,-434.38,1726.73,1247.67,42.41,1327.88,1875.23,1292.35,2557.57
2004T4,2004,4,,,,,,,-35.4629,0.0,S123,Fondos mercado monetario,-46.1017,-142.8089,-188.9106,,,,-0.1396,0.069837342,-0.376,154.0646,,,,-188.9106,0.0,153.6886,0.0,0.0,0.0,-188.9106,-35.29176265799998
2004T4,2004,4,,,,,,,-482.4677,0.0407,S124,Fondos mercado no monetario,-63.1952,-221.6714,-284.8665,0.0,-2.9163,-2.9163,0.1336,25.8283,-1.2724,-435.6776,,,,-284.8666,-2.9163,-436.95,0.0,0.0,0.0,-287.7829,-698.771
2004T4,2004,4,40.2153,64.3388,104.5541,,,0.0393,637.0106,-87.7596,S125_S126,Otros intermediarios y auxiliares,-4.9159,-6.3122,-11.228,5.4762,58.8721,64.3483,-21.4167,-51.054,199.1718,75.8225,-29.625,244.292,214.667,-11.2281,64.34830000000001,274.9943,214.667,104.5541,0.0,53.12020000000001,255.64380000000003
2004T4,2004,4,,,,,,,,,S128,Compañías de seguros,-11.4528,116.5274,,,,,,,-11.7188,66.2554,,,,105.0746,0.0,54.53659999999999,0.0,0.0,0.0,105.0746,159.6112
2004T4,2004,4,,,,,,,630.812,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
