periodo,sector_codigo,exposicion_pasivo,ASF_t,IS_pasivo,exposicion_activo,IS_activo,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg,sector_nombre,año,trimestre
2025T1,S11,150221.16054891652,1021258.3016,0.14709418793812087,88873.28622937844,0.08702331828308385,,,,,,,330184.4635677922,0.260359309473872,Empresas no financieras,2025,1
2025T2,S11,151957.67118190287,1054271.3059,0.14413526227215406,90669.90437632377,0.08600243966511217,,,,,,,343902.2134966651,0.25632933169553956,Empresas no financieras,2025,2
2025T3,S11,154965.78060795594,1091621.7018,0.141959234002429,93892.2728561564,0.086011731629497,,,,,,,357783.1090220374,0.2383267217097067,Empresas no financieras,2025,3
2003T1,S121,14563.570199645954,154413.0895,0.0943156454339705,1400.7053299999998,0.009071156691026505,,,,,,,40002.255310688444,0.4035573529819845,Banco Central,2003,1
2003T2,S121,14330.772911123582,157855.7252,0.09078399211030697,1479.9147500000001,0.00937510976003549,,,,,,,42014.291949596896,0.3918271177252388,Banco Central,2003,2
2003T3,S121,13943.521352304502,160945.5228,0.08663503718355377,1405.8820799999999,0.008735142522398888,,,,,,,42820.452629087136,0.37625757012380145,Banco Central,2003,3
2003T4,S121,13746.2319952151,161389.8936,0.08517405699073526,2054.66634,0.012731071903996844,,,,,,,43636.82186180111,0.35964829529343634,Banco Central,2003,4
2004T1,S121,13408.397801205407,165855.7481,0.08084373291133108,1415.0787199999997,0.008531984789256755,,,,,,,46932.99840607166,0.3685052407045898,Banco Central,2004,1
2004T2,S121,13342.123843094465,171341.6627,0.07786853257316072,1763.9343099999999,0.010294835956438982,,,,,,,48144.84089299334,0.3726367137713975,Banco Central,2004,2
2004T3,S121,12539.262662255845,175960.0148,0.07126200049771673,1408.82214,0.008006490233598229,,,,,,,49738.010443829815,0.3862027370172987,Banco Central,2004,3
2004T4,S121,12345.58289222741,179449.8467,0.06879684279065706,2453.7997099999993,0.013674013966154029,,,,,,,50410.43938897209,0.3757978023497905,Banco Central,2004,4
2005T1,S121,12087.332272250576,183872.2285,0.06573767213709805,2179.1247900000003,0.011851299175394507,,,,,,,51965.56816736908,0.37766193323510405,Banco Central,2005,1
2005T2,S121,12705.67975042513,190509.20010000002,0.06669326071263647,1888.04836,0.009910536388840782,,,,,,,54421.40759775581,0.3741280883995119,Banco Central,2005,2
2005T3,S121,12359.544911642675,193945.69350000002,0.06372683346868269,1805.9904,0.009311835531939767,,,,,,,56431.53480591513,0.3697718263035582,Banco Central,2005,3
2005T4,S121,12236.948570010958,195526.41389999999,0.0625846315386801,1858.636,0.009505805189832718,,,,,,,56019.2239039226,0.374519026089613,Banco Central,2005,4
2006T1,S121,11250.643822644617,203963.3026,0.05516013753076294,1779.2287999999999,0.008723279027744082,,,,,,,59526.587623772415,0.3727090508234426,Banco Central,2006,1
2006T2,S121,11319.077467185502,209238.9015,0.05409642942130195,1731.4393899999998,0.008274940164508558,,,,,,,60531.53294884653,0.38467060895360355,Banco Central,2006,2
2006T3,S121,11092.337466362294,217013.5702,0.05111356610620977,1725.99921,0.007953416039417797,,,,,,,63543.45957391741,0.381474675991942,Banco Central,2006,3
2006T4,S121,11660.87729896266,227218.4461,0.0513201172664945,2124.33083,0.009349288609539522,,,,,,,67227.01361202105,0.3752820159546663,Banco Central,2006,4
2007T1,S121,10352.07840829458,233116.8507,0.04440725060075882,2037.1177999999998,0.008738612390665758,,,,,,,70252.12169410204,0.3844009172397881,Banco Central,2007,1
2007T2,S121,11183.462647187187,248421.89779999998,0.045018022751725346,2021.44482,0.008137144261040261,,,,,,,73105.39363793682,0.3862980247811185,Banco Central,2007,2
2007T3,S121,9666.817580962517,252182.82760000002,0.0383325766982657,1823.0539799999997,0.007229096435113489,,,,,,,76583.07429822205,0.3798584663311131,Banco Central,2007,3
