periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2013T1,2013,1,S121,Banco Central,25084.39104341,1.3699946800505178
2013T2,2013,2,S121,Banco Central,26096.800786948996,1.414296275598828
2013T3,2013,3,S121,Banco Central,26347.025738224,1.4251327324946448
2013T4,2013,4,S121,Banco Central,25790.418884444,1.4012538238502945
2014T1,2014,1,S121,Banco Central,25760.065088093,1.3999680257851046
2014T2,2014,2,S121,Banco Central,25602.79854282,1.3934216930202536
2014T3,2014,3,S121,Banco Central,25734.394128168,1.3988667226647176
2014T4,2014,4,S121,Banco Central,26466.568062321,1.428597138919697
2015T1,2015,1,S121,Banco Central,26139.733458147002,1.4153234710327238
2015T2,2015,2,S121,Banco Central,25824.024012158,1.4026864798199532
2015T3,2015,3,S121,Banco Central,26113.311302992002,1.4140996074594387
2015T4,2015,4,S121,Banco Central,26574.001955648004,1.4320749102367127
2016T1,2016,1,S121,Banco Central,26895.339127074003,1.4445240249496472
2016T2,2016,2,S121,Banco Central,26956.76305809,1.4468817620129975
2016T3,2016,3,S121,Banco Central,26810.311302367,1.4412971799374799
2016T4,2016,4,S121,Banco Central,27908.109177127,1.4829625324525493
2017T1,2017,1,S121,Banco Central,26600.60120121,1.433570308991896
2017T2,2017,2,S121,Banco Central,26186.801167488,1.4180518902008101
2017T3,2017,3,S121,Banco Central,25151.166757323997,1.3792012104991658
2017T4,2017,4,S121,Banco Central,26261.022516352,1.4206166131736797
2018T1,2018,1,S121,Banco Central,25277.746592028,1.3841542727138045
2018T2,2018,2,S121,Banco Central,24917.333430047,1.370883673125495
2018T3,2018,3,S121,Banco Central,25132.284858261,1.378740817275041
2018T4,2018,4,S121,Banco Central,27041.535312723,1.448002407618071
2019T1,2019,1,S121,Banco Central,26282.462857920997,1.4204656208651576
2019T2,2019,2,S121,Banco Central,26305.555955623997,1.4212932325706906
2019T3,2019,3,S121,Banco Central,25807.687943653997,1.4035429971048745
2019T4,2019,4,S121,Banco Central,28384.807713053,1.4945753260112233
2020T1,2020,1,S121,Banco Central,28634.225834958,1.503297013948019
2020T2,2020,2,S121,Banco Central,45009.911273872,2.073949570570553
2020T3,2020,3,S121,Banco Central,53359.400317463,2.3647929825150555
2020T4,2020,4,S121,Banco Central,55171.788534876,2.4271379306946255
2021T1,2021,1,S121,Banco Central,55806.673353041,2.4487364945944283
2021T2,2021,2,S121,Banco Central,67111.145939632,2.829232531986463
2021T3,2021,3,S121,Banco Central,68792.456116626,2.8851116034348
2021T4,2021,4,S121,Banco Central,66085.463985354,2.7977660032435234
2022T1,2022,1,S121,Banco Central,64727.159853986996,2.7549547556927365
2022T2,2022,2,S121,Banco Central,63385.47123927399,2.7144042219996325
2022T3,2022,3,S121,Banco Central,57004.28741523699,2.528137044038687
2022T4,2022,4,S121,Banco Central,56490.967645116994,2.513517122574803
2023T1,2023,1,S121,Banco Central,55982.992409991995,2.4992383205705857
2023T2,2023,2,S121,Banco Central,56034.247063692994,2.500658530939397
2023T3,2023,3,S121,Banco Central,57729.043633394,2.5474793104152615
2023T4,2023,4,S121,Banco Central,61372.711002767996,2.6465206465345634
2024T1,2024,1,S121,Banco Central,60608.11043524899,2.6259078665255755
2024T2,2024,2,S121,Banco Central,40471.51523080799,2.089959015325741
2024T3,2024,3,S121,Banco Central,30356.738954887995,1.823151729204406
2024T4,2024,4,S121,Banco Central,29705.802502538998,1.8062076235995501
2025T1,2025,1,S121,Banco Central,28515.275635536997,1.775598185126681
2025T2,2025,2,S121,Banco Central,29503.316001252995,1.8007602449828406
2025T3,2025,3,S121,Banco Central,30246.040442920996,1.8195702289053035
2003T1,2003,1,S122,Bancos y cooperativas,39893.642034781195,2.3769418977323813
2003T2,2003,2,S122,Bancos y cooperativas,40096.2603034172,2.388888962070072
2003T3,2003,3,S122,Bancos y cooperativas,40602.84251316479,2.418782819790588
2003T4,2003,4,S122,Bancos y cooperativas,42415.1234290803,2.525891620967627
2004T1,2004,1,S122,Bancos y cooperativas,42866.49731940714,2.5527258591514284
2004T2,2004,2,S122,Bancos y cooperativas,43957.94651530099,2.6168723418559825
2004T3,2004,3,S122,Bancos y cooperativas,44583.07890962289,2.653236741512188
2004T4,2004,4,S122,Bancos y cooperativas,47149.34299507754,2.80142965459234
2005T1,2005,1,S122,Bancos y cooperativas,48472.173761529484,2.8783438756273165
2005T2,2005,2,S122,Bancos y cooperativas,50696.599815917216,3.0055320657662725
2005T3,2005,3,S122,Bancos y cooperativas,52420.62414600067,3.1028380339742796
2005T4,2005,4,S122,Bancos y cooperativas,55697.145095526255,3.2851220719989143
2006T1,2006,1,S122,Bancos y cooperativas,57044.131625306036,3.3603069398619887
2006T2,2006,2,S122,Bancos y cooperativas,58539.098483707116,3.4426679069720243
2006T3,2006,3,S122,Bancos y cooperativas,60199.35433867789,3.5328935643342416
2006T4,2006,4,S122,Bancos y cooperativas,62806.73470355201,3.675090680933817
2007T1,2007,1,S122,Bancos y cooperativas,64737.83468330408,3.780196169036833
2007T2,2007,2,S122,Bancos y cooperativas,68509.4102425951,3.9827058948013105
2007T3,2007,3,S122,Bancos y cooperativas,70880.09172662094,4.106314471919016
2007T4,2007,4,S122,Bancos y cooperativas,75362.3455570496,4.33473680764866
2008T1,2008,1,S122,Bancos y cooperativas,77764.57698551351,4.455923731238329
2008T2,2008,2,S122,Bancos y cooperativas,81112.72687763066,4.621242342531194
2008T3,2008,3,S122,Bancos y cooperativas,84619.21196825147,4.788310585690054
2008T4,2008,4,S122,Bancos y cooperativas,88585.69979407165,4.9732062800437
2009T1,2009,1,S122,Bancos y cooperativas,85894.0152421695,4.844784806339449
2009T2,2009,2,S122,Bancos y cooperativas,86180.48051339602,4.858469657891042
2009T3,2009,3,S122,Bancos y cooperativas,88146.26560711743,4.952822285088851
2009T4,2009,4,S122,Bancos y cooperativas,93220.57653493244,5.195115175456126
2010T1,2010,1,S122,Bancos y cooperativas,91946.4216365536,5.134436856299404
