periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2019T1,2019,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),58961.777302787945,2.723384243024026,1.0018753139179446,0.046850925033191326
2019T2,2019,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),62027.560250326795,2.8332559409070313,1.0414265594811114,0.039551245563166804
2019T3,2019,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),66140.45015171851,2.9798907164689483,1.0918866275190107,0.050460068037899264
2019T4,2019,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),65585.63033047445,2.9602926593468193,1.0852881348494667,-0.006598492669543932
2020T1,2020,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),65717.94016744755,2.964919288319221,1.0868498106016804,0.0015616757522136648
2020T2,2020,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),69305.82796970983,3.0899483965585857,1.1281543906273526,0.041304580025672166
2020T3,2020,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),70304.0299626384,3.124719443255868,1.1393445009999426,0.01119011037258999
2020T4,2020,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),69884.79724937245,3.110298117001025,1.1347185791537004,-0.004625921846242109
2021T1,2021,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),72467.327525514,3.1981549118030106,1.1625740534521476,0.027855474298447147
2021T2,2021,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),71520.49676892436,3.166285636327868,1.1525591773285604,-0.010014876123587202
2021T3,2021,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),71557.66651312287,3.167520988864363,1.1529492595098654,0.00039008218130498484
2021T4,2021,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),69807.68971441401,3.1110550789571154,1.1349619223415837,-0.017987337168281714
2022T1,2022,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),66786.93867998818,3.0158465631779943,1.1038805745737164,-0.031081347767867307
2022T2,2022,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),68114.50071306962,3.0559701420485434,1.1170971009844712,0.01321652641075488
2022T3,2022,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),68144.28020820995,3.0568394074817062,1.1173815088110126,0.0002844078265413774
2022T4,2022,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),67279.28222234728,3.0322032969014066,1.1092895159615694,-0.008091992849443175
2023T1,2023,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),67052.76247541852,3.025835997094665,1.1071874159775972,-0.002102099983972261
2023T2,2023,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),68857.99893304687,3.0758571239612293,1.123583601917431,0.01639618593983383
2023T3,2023,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),75028.45196092609,3.2463232587466475,1.177523050932068,0.053939449014636986
2023T4,2023,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),76333.07546249179,3.2817852374699985,1.1883875540460345,0.010864503113966473
2024T1,2024,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),84519.61119455026,3.5024851260774557,1.2534727525611802,0.06508519851514571
2024T2,2024,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),88420.9213893336,3.606321087213884,1.2826881633056764,0.029215410744496184
2024T3,2024,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),95183.7079259912,3.78470968160713,1.3309691815981333,0.0482810182924569
